Category,Listing Name,Descript
healthcare,Patient Service Assistant,"['Responsibilities', 'To register patients for DRC or Outpatient Services', 'To carry out means testing for patients as and when required', 'To collect payments for Outpatient Day rehabilitation Services', 'To maintain monthly statistics as required by the department', 'To handle enquiries regarding Outpatient Therapy Services', 'To order supplies from internal store', 'To help in clerical/administrative duties in the department', 'To be responsible for keeping the reception area clean and tidy', '\xa0', 'Requirements', 'Diploma, N or O level', 'Preferably 1 year relevant experience', 'To be organised and meticulous', 'Proficient in MS Office and SAP', 'Customer-oriented with communication skills and interpersonal skills']"
healthcare,Vaccination Assistant - (SGGA00222),"['The Role', 'Assist in registration for patients', 'Handle queue and crowd control', 'Provide Administrative support', 'Ad-hoc duties as required', 'Qualifications & Experience', '9 to 12 months contract, tied to the duration that the Vaccination Centre remains operational', 'Able to commit for at least 3 months is a must', 'Training will be provided', 'Additional Information', '\xa0', 'Work Location:', 'Either based at a vaccination centre in western Singapore or be assigned to a mobile vaccination team that will travel island wide in a provided transport', 'Working Hours:', 'Morning Shift: 7.30am to 3.30pm', 'Afternoon Shift: 2.30pm to 10.30pm', 'Mobile Vaccination Team: 7am to 6pm']"
healthcare,Healthcare Assistant,"['Job Description', '• Perform portering duties', '• Attend to patient’s need and basic nursing care in the department', '• Perform incidental housekeeping duties', '• Assist in the proper storage of CSSD, linen and other supplies.', '• Assist in the transporting of equipment / furniture to appropriate department for repairs and maintenance.', '• Despatch documents, imaging films and radiological reports to the wards and clinics', 'Job Requirements', '• Minimum secondary education with Certificate in healthcare support', '• Relevant work experience in a hospital setting', '• Willing to work two rotating shifts (morning / afternoon shift)']"
healthcare,"Senior Assistant Manager (Medical Affairs, Clinical Governance)","['Job Description', 'Coordinate and help to promote an effective clinical quality and safety programme within the organisation.\xa0 To play an active role in identifying, coordinating and participating with relevant departments in developing quality models, standards development, design and implementation of audits and risk management activities.\xa0 To ensure accurate data collation and compilation for various clinical quality activities including clinical performance indicators. To provide support to QA and Clinical Services committees and to continuously seek opportunities to improve work processes and highlight areas for improvement.', 'Manage incidents and serious reportable events and conduct root cause analysis. Perform tasks relating to Credentialing of Specific Clinical Privileges.', 'Requirements', 'Singaporean with medical or nursing background', 'Good communication skills and team work.', 'Proficient in MS Office - Word, Excel, Powerpoint', 'Proficient in statistical skills with good knowledge of SPSS and databases.']"
healthcare,Project Executive,"['Minmed Group regularly conducts screening in corporate offices, schools and community settings. The Project Executive forms part of the Mobile Team engaged in provision of offsite screening including health screening, functional screening as well as Covid-19 testing.', 'Role & Responsibilities:', 'Manage and lead a team of full time and part time screening executives to ensure seamless execution of health and wellness projects', 'Liaise with client for project implementation including publicity, logistics, client servicing and service recovery', 'Coordinate internal resources and interface with third party vendors to ensure smooth execution', 'Manage client and participant enquiries in an expedient manner', 'Ensure project performance', 'Assist in adhoc tasks as may be required from time to time', 'Requirements:', 'Minimum Diploma qualification', 'Experience in Healthcare/ Events/ Project management\xa0an advantage', 'Possess strong communication skill and excellent interpersonal skills\xa0', 'Ability to manage multiple concurrent projects and teams', 'Kindly send your resume including your current and expected salary. We regret that only shortlisted candidates will be notified.', 'Please refer to our company profile for a listing of available positions.\xa0', 'Thank you.']"
healthcare,Care Associate (Home Care) (Part-time).(Re),"['The Care Associate provides home-based personal care services that aims to assist clients with their daily activities of living, to enable them to continue to live in the comfort and security of their own home.', 'Duties include but not limited to companionship, personal hygiene, medical escort, grocery shopping, meal preparation, feeding and light housekeeping.', '1. Companionship & Recreational Activities', 'Have positive conversation, chit chat and provide a listening ear to client and client with dementia', 'Conduct mind stimulating games, simple card or board games with client.', 'Engage in recreational activities according to client’s interest e.g. reading newspaper, playing musical instruments, singing, etc.', '2. Personal Hygiene/ Showering/ Grooming', 'Change diapers, clean and dry body parts', 'Full body bed sponging (wash hair on bed, if required), including cleaning of face, eye, mouth, teeth and ear.', 'Assist to toilet for showering and assist with showering', 'Apply moisturizer and topical cream, if required.', '3. Simple Exercises', 'Strengthen joints and muscles of lower and upper limbs by conducting range of motion and joint movement exercises (from head to toe)', '4. Transferring and Positioning', 'To transfer client from bed to commode or wheelchair or chair and back', '5. Errands and Grocery Shopping', 'To run errands or do grocery shopping with/without client to markets/shops within approximately 5-10 minutes’ walk from the client’s home.', '6. Meal Preparations', 'To cook simple home-cooked food that does not take more than 45 mins to prepare or buy healthy food from outside for client only', '7. Light Housekeeping', 'To identify and rectify basic home hazards to prevent falls / slips e.g. wet floor, untidy walkways that prevent easy maneuver', 'To ensure client’s living space (bedroom, living room, toilet, hallways) is dry and clean by sweeping, mopping and tidying', 'To ensure that kitchen stove and table is clean after cooking', 'To wash the plates and pots after meals / use', 'If washing machine is available, to wash the client’s clothes and hang dry', '8. Medical Escort', 'To assist with walking and boarding the transport vehicle', 'To guide client around the clinic/hospital premises', 'To collect medications/ receipts and explain to client/ caregiver', 'To accompany and assist the client in the examination room;', 'To securely carry the client’s documents', 'Qualifications', 'Preferably GCE O-Level', 'Good interpersonal skills', 'Passion in community services and service-oriented', 'ITE/Certificates in Healthcare related courses is an added advantage', 'Able to speak one or more dialects is an added advantage']"
healthcare,"Senior / Executive, Clinical Administration Office","['The Senior/ Executive will report to the Assistant/ Manager of Clinical Administration Office to support the various initiatives in clinical services, namely Medical, Nursing and Allied Health. The Executive’s main responsibilities will be to provide administrative support to the Directors, Managers, clinicians and staff in the delivery of clinical care, continuously review projects to improve patient care and safety, and review processes to ensure smooth and effective operations.\xa0', 'Job Requirements', 'Bachelor degree in any discipline', 'Preferably at least 2 years of relevant working experience', 'Good writing skills, meticulous and organised with good planning skills.', 'Excellent communication and interpersonal skills. Able to work independently and supervise junior clerical staff.', 'Experience in healthcare setting will be an advantage', 'Proficient in Microsoft Office']"
healthcare,Pharmacy Assistant - (805BR),"['Pharmacy Assistant', 'Roles and Responsibilities', 'You will provide quality customer service, patient care as well as to assist the executives / pharmacists in ensuring smooth operation in the pharmacy.', 'Duties:', 'Ensure accurate reading and interpretation of prescription', 'Ensure accurate processing of prescriptions - checking on validity, keying, packing and labelling', 'Assist in pre-packing of medication', 'Maintain a high standard of cleanliness and tidiness at the work area and storerooms', 'Job Requirements:', ""GCE 'O' / 'A' Level / Certified Pharmacy Technician Certification with min 2 - 3 years of relevant working experience in healthcare industry"", 'Good patient relation and communication skills', 'Good team player and self motivated', 'Must not be colour blind', 'Career Opportunity', 'Opportunity to be trained to be a Pharmacy Technician']"
healthcare,Scholarships (SGGA00176),"['Scholarships', 'Parkway Pantai believes in investing in candidates with the passion to pursue their careers in healthcare. We offer scholarship opportunities for candidates pursuing studies in:', 'Nursing', 'Diagnostic Radiography', 'Radiation Oncology', 'Pharmacy', 'Physiotherapy', 'Career Opportunities', 'Upon graduation, candidates can continue to grow and develop through on the job training and other opportunities. Candidates will be able to go through different career tracks and get to expand their skills. They will also have the opportunities to work in one of our hospitals:', 'Hospitals:', 'Gleneagles Hospital', 'Mount Elizabeth Hospital', 'Mount Elizabeth Novena Hospital', 'Parkway East Hospital', ""Interested applicants may drop us by clicking ''Apply Now''.\xa0""]"
healthcare,"Temporary Regulatory Specialist/Executive, Audit & Licensing Division (Re)","['Temporary Regulatory Specialist/Executive, Audit & Licensing Division (Temp for 6months)', 'Work Location: Helios, 11 Biopolis Way', 'Your duties and responsibilities as a temporary staff will include but not restricted to the following:', 'To assist Audit & Licensing Division (ALD) in the digitalization project to convert hardcopy audit reports into born digital copies, and to extend end to end automation system for audit scheduling and tracking of findings for the audits.', 'Finalization of specifications for the DDOF project,', 'User Acceptance Test (UAT)', 'Development of SOPs, guidelines, and forms,', 'Communications with industry on the new processes', 'Monitoring of the implementation of the DDOF initiative', 'Any other duties to be assigned', 'Requirements', 'Preferably with 2 or more years of relevant experience in manufacturing and/or quality assurance/control in the pharmaceutical/ biopharmaceutical industry.', 'Good knowledge in therapeutic products regulations in Singapore and familiarity with the licence application process', 'Employment Period: 6 months', 'You will be notified on whether you are shortlisted or not within 4 weeks of the closing date of this job posting.']"
healthcare,Care Support Associate (Contract),"['You will assist in the care of patients under the guidance and supervision of Registered Nurses which includes performing basic procedures to maintain the hygiene of and provide comfort to patients as well as participating in the admission, orientation, transfer and discharge of patients. You will also attend to requests and enquiries from patients, member of public and staff and relay messages to relevant personnel as required and perform administrative duties within the ward. You are required to work rotating shifts which may fall on weekends and Public Holidays.', 'Job Requirements:', ""- GCE 'O' Levels or GCE 'N' Levels""]"
healthcare,Swabber,"['Setting up of swab area/station', 'Performing nasopharyngeal (NP), oropharyngeal (OP) or oropharyngeal, and Nasal mid-turbinate (OP-MT/OP-NMT) swab\xa0', 'Explaining the swabbing procedure to the patient', 'Checking of Contra-indications before proceeding with the swab', 'Ensure proper infection control between each client', 'Support other duties as required by the Site Supervisor', 'Requirements:', 'GCE ‘O’ level, Diploma / Degree or equivalent with working experience', 'Candidates with relevant swabbing experience are preferred.']"
healthcare,"Care Coordinator, Advance Care Planning","['Summary', 'The role of an ACP Coordinator involves working with a multi-disciplinary team to provide ACP for targeted group of patients. You will facilitate ACP discussions with patients and / or their family members, document decisions reflective of patients’ goals and plans for future care. You will also collaborate with internal and external stakeholders to develop, implement, integrate and optimise ACP within Alexandra Hospital (AH) and across the care continuum in Queenstown community.', 'Description', 'Engage all suitable referrals in ACP discussion and facilitate the completion of Advance Care Plans for patients', 'Ensure effective communication of patients’ ACPs to health care professionals and other stakeholders', 'Follow up and review outcome of ACP, including honouring of care and treatment preferences (where possible)', 'Follow up on concerns raised during Advance Care Planning process, by providing feedback to the healthcare teams and other stakeholders.', 'Partner with stakeholders for ACP outreach both internally and in the community', 'Conduct and participate in Advance Care Planning advocacy and facilitator trainings', 'Provide mentorship and ACP facilitation support to primary healthcare and community care providers', 'Any other duties as assigned by the reporting officer', 'Requirements', 'Diploma /Degree in Nursing, Psychology, Social Work, Counselling or Allied Health related disciplines.', 'Experience in Psychology/Counselling/Social Work or related fields in Singapore.', 'Experience in Advance Care Planning will be an added advantage.', 'Must be a critical thinker, self-motivated, able to work as part of a multi-disciplinary team, and have excellent interpersonal and communication skills', 'Ability to use local languages and dialects to communicate with patient and their families', 'Good knowledge of MS Word, Excel, and PowerPoint', 'Knowledge in statistics and familiarity with relevant community services will be an advantage']"
healthcare,Clinic Executive,"['We are seeking a dedicated Clinic Executive who can proactively address issues that arise in patient care and vendor liaison as well as to assist in the daily administrative operations of our clinic.', 'Job Scope includes and is not limited to:', 'Receptionist Duties:', 'Answer telephone calls, and schedule patient appointments', 'Answer queries about the clinic.', 'Administrative Duties:', 'Obtain, key and maintain patient data records', 'Provide clear guidance on basic clinical procedures', 'Assist in patient health insurance claims process', 'Assist in online billing system and claiming for panel insurances', 'Manage internal and external communications', 'Arrange hospital admission, laboratory, and imaging services when required', 'Assist in the mediation process between patients and healthcare providers', ""Manage the clinic's inventory count and assist to order stock and supplies when low."", 'Oversee the purchasing, maintenance, and repair of clinic equipment when required.', 'Clinical Duties:', 'Dispensing of medications', 'Financial counselling', 'Chaperone/Accompany the Doctor during consultation when required', 'Ensure the safety and cleanliness of the premises and consultation rooms', 'Sterilize medical equipment and sanitize designated areas.', 'Job Requirements;', ""Minimum O'Levels or equivalent"", 'Relevant experience in clinic / healthcare setting preferred.', 'Excellent interpersonal skills for liaising with patients, healthcare providers, and specialists, as well as the public.', 'Excellent written and verbal communication skills.', 'Excellent organizational skills to ensure that quality services are provided.', 'Knowledge of procuring supplies and equipment.', 'Proficient in billing and negotiating with suppliers and vendors.', 'Computer literate/savvy', 'Able to work on weekends']"
healthcare,Senior / Medical Social Worker,"['Job Responsibilities', 'Provide counselling and emotional support to patients and family members to help them to cope with their illnesses and medical treatment', 'Work on case assessment and action plan, to be completed within stipulated timeline of referral', 'Regularly review case progress until discharge and follow up on post-discharge plans, where necessary', 'Provide counselling and support to patients and family members who require special support for care upon discharge from hospital', 'Provide comprehensive assessment in the psycho-emotional state of patient and family members, their pre-admission coping mechanism, social and financial resources and availability of relevant community resources', 'Liaise with community to facilitate effective post-discharge support', 'Provide priority response within same day or by next working day, and intensive case management to patients who go through personal crisis including attempted suicide or are victims of abuse', 'Financial Assessment and Assistance to patients who require financial aid for medical treatment', 'Teamwork with multi-disciplinary team to achieve holistic care for patients', 'Liaison with community organisation for proactive case management', 'To provide clinical social work supervision to MSWs', 'To identify and work on clinical areas for improvement in relation to the assigned portfolio', 'To take on quality improvement projects and activities', 'To contribute learning and sharing in weekly department case conference /\xa0\xa0 journal club', 'To provide field supervision to NUS undergraduates in Social Work', 'Any other duties as assigned by the department', 'Job Requirements', 'Degree in Social Work / Degree in Arts, major in Social Work; post-graduate qualification specializing in clinical areas of social work is desirable', 'Candidates who possess a Graduate Diploma in Social Work can be considered', 'Effectively bilingual', 'IT knowledge and skill', 'Candidates with relevant experience will be considered for a senior position']"
healthcare,Pharmacy Assistant - (805BR),"['Pharmacy Assistant', 'Roles and Responsibilities', 'You will provide quality customer service, patient care as well as to assist the executives / pharmacists in ensuring smooth operation in the pharmacy.', 'Duties:', 'Ensure accurate reading and interpretation of prescription', 'Ensure accurate processing of prescriptions - checking on validity, keying, packing and labelling', 'Assist in pre-packing of medication', 'Maintain a high standard of cleanliness and tidiness at the work area and storerooms', 'Job Requirements:', ""GCE 'O' / 'A' Level / Certified Pharmacy Technician Certification with min 2 - 3 years of relevant working experience in healthcare industry"", 'Good patient relation and communication skills', 'Good team player and self motivated', 'Must not be colour blind', 'Career Opportunity', 'Opportunity to be trained to be a Pharmacy Technician']"
healthcare,"Assistant Manager, Operations - (SG10681-68129)","['The Role', 'Key accountabilities', 'Establishing and building operations support team, functioning as catalyser in enhancing process improvement, SOPs standardisation, quality improvement, productivity as well as compliance in regulatory requirements and internal audits.', 'Seeking to understand the operational environment of Parkway Shenton, enabling the operations team to effectively execute corporate programs.', 'Manage the reports on the performance and operations of the clinics/ projects, facilities, systems and equipment.', ""Coordinate and liaise with cross-functional departments to effectively manage processes associated with the operation and maintenance of the company's facilities and clinics/ projects."", 'Review the performance, products and services offered at the clinics/ projects on a regular basis, recommending adjustments in workflows and processes.', 'Correspond to internal and external customers enquiries, complaints and feedback.', 'Identify potential issues and risks to prevent and mitigate any disruption to the overall operations of the clinics/projects.', 'Prepare regular reports on project status update to the management.', 'Qualifications & Experience', 'Recognized degree in Healthcare Administration, Business or equivalent, with at least 2-3 years of operations experience in managerial position.', 'Candidates with relevant experience in the healthcare industry, primary care setting in specific, is preferred.', 'Excellent interpersonal and communication skills to build good rapport with both internal and external customers.', 'Strong critical thinking and decision making skills', 'Proficient in Microsoft Office applications', 'Passion for service excellence', 'Additional Information']"
healthcare,Clinical Research Coordinator (Rheumatology),"['The Clinical Research Coordinator functions as part of the research team involved in various clinical research projects, including coordinating multi-centre projects. You will act as liaison between subjects and members of the research team, obtaining relevant information by interviewing subjects and explaining aims and plan of the project in layman terms, address their concerns and questions and arranging for their informed consent. You will schedule subjects for visits to clinic for the required tests and evaluations; Collect their samples and assist the investigators in monitoring the subjects’ well-being.', 'You will have to ensure compliance with protocols and schedules of evaluation. You will be required to compile relevant patient data and maintain proper documentation. You will also compile relevant patient data and maintains proper documentation, complete and maintain case report forms.', 'You will have to draft reports for submission to the relevant authorities and ensures compliance with protocols and schedules of evaluation. You are also required to document and tabulate financial payments received or made to the study.', 'Job Requirements :', 'Bachelor’s Degree in Nursing/ Medical Technology / Health Science / Life Science / Pharmacy with relevant academic certification', 'Minimum 1 year of relevant experience', 'Knowledge of MS office software', 'Bilingual and/or knowledge of local dialects desired']"
healthcare,Medical Technologist (1-year contract) (SGGA00200),"['Key accountabilities', 'Conduct PCR analysis for Covid-19 samples', 'Follows Laboratory policy for registration, billing, identification, processing, reporting, result retrieval and record/specimen keeping.', 'Complies and maintains all applicable safety regulations in the Laboratory.', 'Maintains proper inventory levels of all Clinical Laboratory consumables and reagents and informs senior staff if supply is low.', 'Checks the performance of all instruments and equipment in the Laboratory and to report any equipment which is not functioning properly.', 'Complies with all regulatory guidelines, participating in CAP proficiency testing programs and in hospital quality assurance programs.', 'Participates in a routine maintenance program for instruments and in on-going continuing education and professional development programs.', 'Qualifications & Experience', 'Diploma or Degree in Biomedical, Life Science or Biotechnology', 'On-The-Job Training provided', 'Must be able to commit to 2 Rotating Shifts (7.30 am to 8.30 pm & 7.30 pm to 8.30 am)', 'Work Location: Aljunied (near Paya Lebar MRT)']"
healthcare,Advance Care Planning (ACP) Programme Coordinator (1-year contract),"['The role of an Advance Care Planning (ACP) Programme Coordinator involves facilitating appropriately staged ACP discussions with patient and/or their family members, to document decisions reflective of patient’s wishes and plans for future care.\xa0You will work closely with multidisciplinary professionals and community partners to facilitate holistic care for patients.\xa0You will also contribute to the development and implementation of ACP across SGH campus, which includes areas such as project management, quality improvement, research and outreach to the public and other healthcare professionals.\xa0', 'Job Requirements', 'Minimum\xa0a\xa0Degree in relevant field with at least\xa02 years of working experience in a healthcare setting (Preferably background in social work, counselling, psychology or nursing)', 'Possess strong organizational, coordination, interpersonal and communication skills', 'Possess proficient computer knowledge (Microsoft Office – Word, Excel, PowerPoint)']"
healthcare,Clinical Research Coordinator (1-yr Contract),"['Job duties & responsibilities', 'Assist to collect, enter, process, compile, verify and analyse research data, set up database, follow strict study protocol, quality control and detailed instructions', 'Support the development and introduction of new technologies, services, programmes, in cooperation with the team to meet the rehabilitation needs of the patients and the community in a timely, efficient and professional manner', 'Coordinate, support and participate in all initiatives/ projects/ clinical trials/ publications', 'Provide administrative support to the investigators and research staff', 'Requirements', 'Candidate must possess at least Bachelor Degree', 'Excellent organisational and coordination skills', 'Excellent command of written and spoken English', 'Excellent computer literacy in word processing, spreadsheets and presentation applications', 'Experience with database set-up is an added advantage', 'Excellent interpersonal and communication skills and the ability to work effectively across departments/divisions']"
